WordnetID	Synsets	Definition
n13659162	"meter,metre,m"	the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)
n02667576	abbey	a church associated with a monastery or convent
n05556943	"abdomen,venter,stomach,belly"	the region of the body of a vertebrate between the thorax and the pelvis
n06471345	"certificate,certification,credential,credentials"	a document attesting to the truth of certain stated facts
n08308497	conference	a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)
n02756098	"attire,garb,dress"	clothing of a distinctive style or for a particular occasion
n01604968	"Accipitriformes,order_Accipitriformes"	in some classifications an alternative name for the Falconiformes
n03110669	"cornet,horn,trumpet,trump"	a brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves
n02677136	"acrylic,acrylic_paint"	used especially by artists
n05217168	"human_body,physical_body,material_body,soma,build,figure,physique,anatomy,shape,bod,chassis,frame,form,flesh"	alternative names for the body of a human being
n15147850	adolescence	the time period between the beginning of puberty and adulthood
n09605289	"adult,grownup"	a fully developed person from maturity onward
n00796315	"adventure,escapade,risky_venture,dangerous_undertaking"	a wild and exciting undertaking (not necessarily lawful)
n07248801	"ad,advertisement,advertizement,advertising,advertizing,advert"	a public promotion of some product or service
n05064541	topography	the configuration of a surface and the relations among its man-made and natural features
n00903559	"photography,picture_taking"	the act of taking and printing photographs
n00302861	"acrobatics,aerobatics,stunting,stunt_flying"	the performance of stunts while in flight in an aircraft
n06125041	"engineering,engineering_science,applied_science,technology"	the discipline dealing with the art or science of applying scientific knowledge to practical problems
n11517898	afterglow	a glow sometimes seen in the sky after sunset
n01687441	"Agamidae,family_Agamidae"	an Old World reptile family of Sauria
n13000372	"Agaricaceae,family_Agaricaceae"	large family including many familiar mushrooms
n13001041	mushroom	common name for an edible agaric (contrasting with the inedible toadstool)
n13000668	"Agaricus,genus_Agaricus"	type genus of Agaricaceae; gill fungi having brown spores and including several edible species
n03701640	machinery	machines or machine systems collectively
n01104406	"agribusiness,agriculture,factory_farm"	a large-scale farming enterprise
n08196024	"air_force,airforce"	the airborne branch of a country's armed forces
n00523513	"sport,athletics"	an active diversion requiring physical exertion and competition
n00300441	"air_travel,aviation,air"	travel via aircraft
n02686121	airbus	a subsonic jet airliner operated over short distances
n02686568	aircraft	a vehicle that can fly
n02687423	aircraft_engine	the engine that powers and aircraft
n02690081	"airline,airline_business,airway"	a commercial enterprise that provides scheduled flights for passengers
n02690373	airliner	a commercial airplane that carries passengers
n02691156	"airplane,aeroplane,plane"	an aircraft that has a fixed wing and is powered by propellers or jets
n02692232	"airport,airdrome,aerodrome,drome"	an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo
n02693246	"air_terminal,airport_terminal"	a terminal that serves air travelers or air freight
n02693860	"aisle,gangway"	passageway between seating areas as in an auditorium or passenger vehicle or between areas of shelves of goods as in stores
n02840619	"binding,book_binding,cover,back"	"the protective covering on the front, back, and spine of a book"
n07884567	"alcohol,alcoholic_drink,alcoholic_beverage,intoxicant,inebriant"	a liquor or brew containing alcohol as the active agent
n07889510	ale	a general name for beer made with a top fermenting yeast; in some of the United States an ale is (by law) a brew of more than 4% alcohol by volume
n02512053	fish	any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
n02697759	"alley,alleyway,back_street"	a narrow street with walls on both sides
n04574999	wheel	a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)
n00440747	skiing	a sport in which participants must travel on skis
n09194357	"Alps,the_Alps"	a large mountain system in south-central Europe; scenic beauty and winter sports make them a popular tourist attraction
n02699629	"altar,communion_table,Lord's_table"	the table in Christian churches where communion is given
n00445802	"boxing,pugilism,fisticuffs"	fighting with the fists
n00469651	"American_football,American_football_game"	a game played by two teams of 11 players on a rectangular field 100 yards long; teams try to get possession of the ball and advance it across the opponents goal line in a series of (running or passing) plays
n02121620	"cat,true_cat"	feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
n01627424	amphibian	cold-blooded vertebrate typically living on land but breeding in water; aquatic larvae undergo metamorphosis into adult form
n02704949	"amphitheater,amphitheatre,coliseum"	an oval large stadium with tiers of seats; an arena in which contests and spectacles are held
n08494231	"amusement_park,funfair,pleasure_ground"	a commercially operated park with stalls and shows for amusement
n04088797	ride	a mechanical device that you ride for amusement or excitement
n04407435	temple	place of worship consisting of an edifice for the worship of a deity
n06514529	ancient_history	a history of the ancient world
n02734725	architecture	an architectural product or work
n08806897	"Rome,Roma,Eternal_City,Italian_capital,capital_of_Italy"	capital and largest city of Italy; on the Tiber; seat of the Roman Catholic Church; formerly the capital of the Roman Republic and the Roman Empire
n00015388	"animal,animate_being,beast,brute,creature,fauna"	a living organism characterized by voluntary movement
n07312616	migration	the periodic passage of groups of animals (especially birds or fishes) from one region to another for feeding or breeding
n04192238	shelter	temporary housing for homeless or displaced persons
n00021265	"food,nutrient"	any substance that can be metabolized by an animal to give energy and build tissue
n13099999	deciduous_plant	a plant having foliage that is shed annually at the end of the growing season
n11552806	annual	(botany) a plant that completes its entire life cycle within the space of a year
n02723754	antique	any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
n02958343	"car,auto,automobile,machine,motorcar"	a motor vehicle with four wheels; usually propelled by an internal combustion engine
n02726305	"apartment,flat"	a suite of rooms usually on one floor of an apartment house
n09964411	"copycat,imitator,emulator,ape,aper"	someone who copies the words or behavior of another
n07739125	apple	fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
n04969798	"greenish_blue,aqua,aquamarine,turquoise,cobalt_blue,peacock_blue"	a shade of blue tinged with green
n02732072	"aquarium,fish_tank,marine_museum"	a tank or pool or bowl filled with water for keeping live fish and underwater animals
n13121544	"aquatic_plant,water_plant,hydrophyte,hydrophytic_plant"	"a plant that grows partly or wholly in water whether rooted in the mud, as a lotus, or floating without anchorage, as the water hyacinth"
n01769347	"arachnid,arachnoid"	air-breathing arthropods characterized by simple eyes and four pairs of legs
n01773319	"Aranea,genus_Aranea,Araneus,genus_Araneus"	a genus of orb-weaving spiders including common garden spiders and barn spiders
n02733213	"arcade,colonnade"	a structure composed of a series of arches supported by columns
n13886133	arch	a curved shape in the vertical plane that spans an opening
n02898711	"bridge,span"	a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
n08651247	"site,land_site"	the piece of land on which something is located (or is to be located)
n09203827	archipelago	a group of many islands in a large body of water
s02444475	"north-polar,Arctic"	of or relating to the Arctic
n09204977	Arctic_Ocean	ice covered waters surrounding the North Pole; mostly covered with solid ice or with ice floes and icebergs
n12581381	"Palmae,family_Palmae,Palmaceae,family_Palmaceae,Arecaceae,family_Arecaceae,palm_family"	chiefly tropical trees and shrubs and vines usually having a tall columnar trunk bearing a crown of very large leaves; coextensive with the order Palmales
n08497107	arena	the central area of an ancient Roman amphitheater where contests and spectacles were held; especially an area that was strewn with sand
n00468480	"football,football_game"	any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal
n05563770	arm	a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
n02740061	"armored_car,armoured_car"	an armor-plated truck with strong doors and locks used to transport money or valuables
n08191230	"army,regular_army,ground_forces"	a permanent organization of the military land forces of a nation or state
n10582746	"serviceman,military_man,man,military_personnel"	someone who serves in the armed forces; a member of a military force
n02743547	"art,fine_art"	the products of human creativity; works of art collectively
n08407619	"exhibition,exposition,expo"	a collection of things (goods or works of art etc.) for public display
n03412058	"gallery,art_gallery,picture_gallery"	a room or series of rooms where works of art are exhibited
n10324560	"model,poser"	a person who poses for a photographer or painter or sculptor
n14768854	art_paper	a high-quality paper (usually having a filler of china clay)
n01767661	arthropod	invertebrate having jointed limbs and a segmented body with an exoskeleton made of chitin
n06998748	"artwork,art,graphics,nontextual_matter"	photographs or other visual representations in a printed publication
n11779300	"arum,aroid"	any plant of the family Araceae; have small flowers massed on a spadix surrounded by a large spathe
n14769465	asphalt	mixed asphalt and crushed gravel or sand; used especially for paving but also for roofing
n09239740	"celestial_body,heavenly_body"	natural objects visible in the sky
n06095022	"astronomy,uranology"	the branch of physics that studies celestial bodies and the universe as a whole
n09820263	"athlete,jock"	a person trained to compete in sports
n07456638	"athletic_contest,athletic_competition,athletics"	a contest between athletes
n14524849	"atmosphere,ambiance,ambience"	a particular environment or surrounding influence
n08499057	"atmosphere,air"	the mass of air surrounding the Earth
n11425580	atmospheric_phenomenon	a physical phenomenon associated with the atmosphere
n08221897	audience	a gathering of spectators or listeners at a (usually public) performance
n03294048	equipment	an instrumentality needed for an undertaking or to perform a service
n02758134	auditorium	the area of a theater or concert hall where the audience sits
n15168790	"dawn,dawning,morning,aurora,first_light,daybreak,break_of_day,break_of_the_day,dayspring,sunrise,sunup,cockcrow"	the first light of day
n02762044	"auto_part,car_part"	a component of an automobile
n00449517	"auto_racing,car_racing"	the sport of racing automobiles
n06891022	presentation	the act of making something publicly available; presenting news or other information by broadcasting or printing it
n00928077	"design,designing"	the act of working out the form of something (as by making a sketch or outline or plan)
n03287733	engine	motor that converts thermal energy to mechanical work
n08613472	"outside,exterior"	the outer side or surface of something
n04440749	"tire,tyre"	hoop that covers a wheel
n15236859	"fall,autumn"	the season when the leaves fall from the trees
n08433727	"aviation,air_power"	the aggregation of a country's military aircraft
n06696483	"award,accolade,honor,honour,laurels"	a tangible symbol signifying approval or distinction
n04969242	"azure,cerulean,sapphire,lazuline,sky-blue"	a light shade of blue
n00319312	"packing,backpacking"	carrying something in a pack on the back
n02772197	backyard	the grounds in back of a house
n05851131	badge	any feature that is regarded as a sign of status (a particular power or quality or rank)
n09212572	badlands	deeply eroded barren land
n02774152	"bag,handbag,pocketbook,purse"	a container used for carrying money and small personal items or accessories (especially by women)
n07622061	baked_goods	foods (like breads and cakes and pastries) that are cooked in an oven
n02776631	"bakery,bakeshop,bakehouse"	a workplace where baked goods (breads and cakes and pastries) are produced or sold
n00715843	baking	making bread or cake or pastry etc.
n02777734	balcony	a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet
n02778669	ball	round object that is hit or thrown or kicked in games
n00471437	"ball_game,ballgame"	a field game played with a ball (especially baseball)
n00528667	"ballet,concert_dance"	a theatrical representation of a story that is performed to music by trained dancers
n02782093	balloon	large tough nonrigid bag filled with gas or heated air
n02783324	"ballroom,dance_hall,dance_palace"	large room used mainly for dancing
n02783994	baluster	one of a number of closely spaced supports for a railing
n00467995	"field_hockey,hockey"	a game resembling ice hockey that is played on an open field; two opposing teams use curved sticks try to drive a ball into the opponents' net
n02788021	"banner,streamer"	long strip of cloth or paper used for decoration or advertising
n08253640	"banquet,feast"	a ceremonial dinner party for many people
n02788572	"baptismal_font,baptistry,baptistery,font"	bowl for baptismal water
n02796995	"barroom,bar,saloon,ginmill,taproom"	a room or establishment where alcoholic drinks are served over a counter
n07576781	"barbecue,barbeque"	a cookout in which food is cooked over an open fire; especially a whole animal carcass roasted on a spit
n03459591	"grill,grille,grillwork"	a framework of metal bars used as a partition or a grate
n14456435	nude	without clothing (especially in the phrase `in the nude')
n02793495	barn	an outlying farm building for storing grain or animal feed and housing farm animals
n02799071	baseball	a ball used in playing baseball
n02780916	"ball_field,baseball_field,diamond"	the baseball playing field
n02782778	"ballpark,park"	a facility in which ball games are played (especially baseball games)
n09835506	"ballplayer,baseball_player"	an athlete who plays baseball
n00722479	position	(in team sports) the role assigned to an individual player
n02801047	"basilica,Roman_basilica"	a Roman building used for public administration
n02802426	basketball	an inflated ball used in playing basketball
n00166172	move	(game) a player's turn to take some action permitted by the rules of the game
n09842047	"basketball_player,basketeer,cager"	an athlete who plays basketball
n02804123	bass_guitar	the guitar with six strings that has the lowest pitch
n09842629	bassist	a musician who play the bass viol
n02807731	"bathroom,bath"	a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
n02812201	"battleship,battlewagon"	large and heavily armoured warship
n09215664	"bay,embayment"	an indentation of a shoreline larger than a cove but smaller than a gulf
n09217086	bayou	a swampy arm or slow-moving outlet of a lake (term used mainly in Mississippi and Louisiana)
n02813645	"bazaar,bazar"	a street of small shops (especially in Orient)
n09217230	beach	an area of sand sloping down to the water of a sea or lake
n02815071	bead	a small ball with a hole through the middle
n01758308	"beak,bill,neb,nib,pecker"	horny projecting mouth of a bird
n02815950	beam	"long thick piece of wood or metal or concrete, etc., used in construction"
n02131653	bear	massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
n05261566	"beard,face_fungus,whiskers"	the hair growing on the lower part of a man's face
n04683814	beauty	the qualities that give pleasure to the senses
n02818832	bed	a piece of furniture that provides a place to sleep
n04188179	"sheet,bed_sheet"	bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs
n09218044	bedrock	solid unweathered rock lying beneath surface deposits of soil
n02821627	"bedroom,sleeping_room,sleeping_accommodation,chamber,bedchamber"	a room used primarily for sleeping
n15168475	bedtime	the time you go to bed
n02206856	bee	any of numerous hairy-bodied insects including social and solitary species
n07886849	beer	a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
n02823428	beer_bottle	a bottle that holds beer
n02164464	beetle	insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings
n02826886	bell_tower	a tower that supports or shelters a bell
n08710535	Bengal	a region whose eastern part is now Bangladesh and whose western part is included in India
n13137409	berry	"a small fruit having any of various structures, e.g., simple (grape or blueberry) or aggregate (blackberry or raspberry)"
n02834778	"bicycle,bike,wheel,cycle"	a wheeled vehicle that has two wheels and is moved by foot pedals
n04226537	"skeleton,skeletal_frame,frame,underframe"	the internal supporting structure that gives an artifact its shape
n00451635	motorcycling	riding a motorcycle
n13809207	"part,portion,component_part,component,constituent"	something determined in relation to something that includes it
n00449295	racing	the sport of engaging in contests of speed
n02836035	bicycle_wheel	the wheel of a bicycle
n02836174	bidet	a basin for washing genitals and anal area
n02127808	"big_cat,cat"	any of several large cats typically able to roar and living in the wild
n02837789	"bikini,two-piece"	a woman's very brief bathing suit
n02839110	"billboard,hoarding"	large outdoor signboard
n06037666	"biology,biological_science"	the science that studies living organisms
n07941945	biome	a major biotic community characterized by the dominant forms of plant life and the prevailing climate
n02842573	biplane	old fashioned airplane; has two wings one above the other
n12281241	"birch,birch_tree"	any betulaceous tree or shrub of the genus Betula having a thin peeling bark
n01503061	bird	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
n01604330	"bird_of_prey,raptor,raptorial_bird"	any of numerous carnivorous birds that hunt and kill other animals
n05933246	"view,aspect,prospect,scene,vista,panorama"	the visual percept of a region
n15250178	birthday	an anniversary of the day on which a person was born (or the celebration of it)
n07629988	birthday_cake	decorated cake served at a birthday party
n09857200	bishop	a senior member of the Christian clergy having spiritual and administrative authority; appointed in Christian churches to oversee priests or ministers; considered in some churches to be successors of the twelve Apostles of Christ
n04960277	"black,blackness,inkiness"	the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
n02450829	"fisher,pekan,fisher_cat,black_cat,Martes_pennanti"	large dark brown North American arboreal carnivorous mammal
n05254795	hair	a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
n01574045	"New_World_blackbird,blackbird"	any bird of the family Icteridae whose male is black or predominantly black
n11509570	"blizzard,snowstorm"	a storm with widespread snowfall accompanied by strong winds
n09860506	"blond,blonde"	a person with fair skin and hair
n11669335	"flower,bloom,blossom"	reproductive organ of angiosperm plants especially one having showy or colorful parts
n04968895	"blue,blueness"	blue color or pigment; resembling the color of the clear sky in the daytime
n00502415	board_game	a game played on a specially designed board
n00058337	"boarding,embarkation,embarkment"	the act of passengers and crew getting aboard a ship or aircraft
n00449054	skateboarding	the sport of skating on a skateboard
n02858179	boardwalk	a walkway made of wooden boards; usually at seaside
n02858304	boat	a small vessel for travel on water
n00315390	"boating,yachting"	water travel for pleasure
n09225146	"body_of_water,water"	the part of the earth's surface covered with water (such as a river or lake or ocean)
n09225943	"bog,peat_bog"	wet spongy ground of decomposing vegetation; has poorer drainage than a swamp; soil is unfit for cultivation but can be cut and dried and used for fuel
n13054560	bolete	any fungus of the family Boletaceae
n02867715	bomber	a military aircraft that drops bombs during flight
n02300018	"Bombycidae,family_Bombycidae"	Chinese silkworm moth
n07303335	"bonfire,balefire"	a large outdoor fire that is lighted as a signal or in celebration
n06410904	book	a written work or composition that has been published (printed on pages bound together)
n01115162	sell	the activity of persuading someone to buy
n02872752	boot	footwear that covers the whole foot and lower leg
n12585629	"palmyra,palmyra_palm,toddy_palm,wine_palm,lontar,longar_palm,Borassus_flabellifer"	tall fan palm of Africa and India and Malaysia yielding a hard wood and sweet sap that is a source of palm wine and sugar; leaves used for thatching and weaving
n02733075	"arboretum,botanical_garden"	a facility where trees and shrubs are cultivated for exhibition
n06066555	"botany,phytology"	the branch of biology that studies plants
n02876657	bottle	a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped
n09227839	"boulder,bowlder"	a large smooth mass of rock detached from its place of origin
