n03024882	noun.artifact	necklace that fits tightly around a woman's neck
v02385153	verb.social	lose office or power
n04355933	noun.artifact	a convex lens that focuses the rays of the sun; used to start a fire
n00441686	noun.act	a turn made in skiing; the outside ski is placed ahead and turned gradually inwards
n14076479	noun.state	any epidemic disease with a high death rate
v01361884	verb.contact	plaster with mud
n00901476	noun.act	a method of examining body organs by scanning them with X rays and using a computer to construct a series of cross-sectional scans along a single axis
n13792842	noun.relation	a connection allowing access between persons or places
v02754463	verb.stative	take its rise
n03246454	noun.artifact	a curtain that can be lowered and raised onto a stage from the flies; often used as background scenery
n12130759	noun.plant	reeds of marshes and riversides in tropical or temperate regions
n04037873	noun.artifact	a canal for a current of water
n04610879	noun.artifact	the enclosed land around a house or other building
n01562265	noun.animal	small Old World songbird with a reddish breast
n03781244	noun.artifact	the residence of a religious community
n03655295	noun.artifact	(trademark) a child's plastic construction set for making mechanical models
v00490968	verb.change	measure the time or duration of an event or action or the person who performs an action in a certain period of time
n10975101	noun.person	son of Henry Ford (1893-1943)
v01080064	verb.competition	use or move
n07942152	noun.group	(plural) any group of human beings (men or women or children) collectively
n10474645	noun.person	the educator who has executive authority for a school
n12655869	noun.plant	woody brambles bearing usually red but sometimes black or yellow fruits that separate from the receptacle when ripe and are rounder and smaller than blackberries
n09225943	noun.object	wet spongy ground of decomposing vegetation; has poorer drainage than a swamp; soil is unfit for cultivation but can be cut and dried and used for fuel
n08590909	noun.location	(basketball) a space (including the foul line) in front of the basket at each end of a basketball court; usually painted a different color from the rest of the court
v01331237	verb.contact	sew a seam by folding the edges
n13873213	noun.shape	a point or set of points common to two or more geometric configurations
v01323518	verb.contact	kill by throwing stones at
r00031304	adv.all	with reference to action or condition; without change, interruption, or cessation
n00880662	noun.act	a purposeful surveillance to guard or observe
n13654093	noun.quantity	a unit of length equal to 4 inches; used in measuring horses
a02847786	adj.pert	relating to or associated with flowers
n00329227	noun.act	the act of flowing or streaming; continuous progression
n10344443	noun.person	a well-known or notable person
v01586278	verb.contact	manipulate manually or in one's mind or imagination
n12620031	noun.plant	large genus of erect or climbing prickly shrubs including roses
v01428011	verb.contact	mate with
n14854581	noun.substance	obscene terms for feces
v02106006	verb.perception	perceive by a physical sensation, e.g., coming from the skin or muscles
n13252513	noun.possession	an estate where cash crops are grown on a large scale (especially in tropical areas)
n04127904	noun.artifact	a large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel
v02534492	verb.social	make amorous advances towards
n05463533	noun.body	a cluster of nerve cells governing a specific bodily process
v02735142	verb.stative	strew
n04530566	noun.artifact	a craft designed for water transportation
v01786292	verb.emotion	anger or take offense
n03073977	noun.artifact	(architecture) a tall vertical cylindrical structure standing upright and used to support a structure
v02388403	verb.social	teach or refine to be discriminative in taste or judgment
n05148699	noun.attribute	the quality of being of practical use
n00166172	noun.act	(game) a player's turn to take some action permitted by the rules of the game
n07025900	noun.communication	traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste
n00081836	noun.act	searching for or buying goods or services
n02733213	noun.artifact	a structure composed of a series of arches supported by columns
n00986938	noun.act	the act of firing weapons or artillery at an enemy
n06514093	noun.communication	a record or narrative description of past events
n03287733	noun.artifact	motor that converts thermal energy to mechanical work
n05559727	noun.body	either of the two large fleshy masses of muscular tissue that form the human rump
v00332672	verb.change	become undone
n02796995	noun.artifact	a room or establishment where alcoholic drinks are served over a counter
n08182379	noun.group	a large number of things or people considered together
n03927201	noun.artifact	a montage that uses photographic images
v01586850	verb.contact	enclose in or as if in a frame
a02995373	adj.pert	of or relating to the marsupials
v01987648	verb.motion	even up the edges of a stack of paper, in printing
n10023039	noun.person	informal term for a man
n11516113	noun.phenomenon	(physics) the transfer of energy between elementary particles or between an elementary particle and a field or between fields; mediated by gauge bosons
n06410904	noun.communication	a written work or composition that has been published (printed on pages bound together)
v02099829	verb.motion	move about freely and without restraint, or act as if running around in an uncontrolled way
v02335363	verb.possession	furnish with glass
n05870055	noun.cognition	a single person or thing
s01136248	adj.all	annoyed and irritable
n04565375	noun.artifact	any instrument or instrumentality used in fighting or hunting
n07418822	noun.event	a difficult juncture
n10153414	noun.person	an informal term for a youth or man
v01612964	verb.contact	cover conspicuously or thickly, as by pasting something on
n07803545	noun.food	grains of common wheat; sometimes cooked whole or cracked as cereal; usually ground into flour
n00916464	noun.act	the practice of cultivating the land or raising stock
n12454159	noun.plant	any of numerous perennial bulbous herbs having linear or broadly lanceolate leaves and usually a single showy flower
n09918554	noun.person	an immature childish person
n04971313	noun.attribute	a dusty pink color
v02483564	verb.social	pull (a person) apart with four horses tied to his extremities, so as to execute him
n07648267	noun.food	the upper joint of the leg of a fowl
v01089285	verb.competition	form a team
n00620554	noun.act	the occupation of taking and printing photographs or making movies
v01640207	verb.creation	create by artistic means
n04393404	noun.artifact	a wall hanging of heavy handwoven fabric with pictorial designs
n03366464	noun.artifact	the legislative hall where members debate and vote and conduct other business
n07288024	noun.event	a brief experience of something
v00614999	verb.cognition	leave undone or leave out
n00508091	noun.act	players buy (or are given) chances and prizes are distributed by casting lots
s00244054	adj.all	(used of hair or skin) pale or light-colored; 
n03222176	noun.artifact	a room that is entered via a door
n03783873	noun.artifact	an airplane with a single wing
n05398609	noun.body	any of several liquids of the body
s00958475	adj.all	gained or earned without cheating or stealing
v02748927	verb.stative	be beautiful to look at
n00225150	noun.act	killing someone by gunfire
s01779428	adj.all	intimately concerning a person's body or physical being
n00386915	noun.act	the act of cutting something into parts
n02890940	noun.artifact	a restraint provided when the brake linings are moved hydraulically against the brake drum to retard the wheel's rotation
n08307589	noun.group	a formally arranged gathering
s00381097	adj.all	of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies
s01406180	adj.all	related by blood; not adopted
v02545272	verb.social	put at risk
n06816445	noun.communication	a notation used by choreographers
n13876561	noun.shape	a curve that lies on the surface of a cylinder or cone and cuts the element at a constant angle
v00176137	verb.change	remove the stem from
